Created on,Last change,Name (in database),Code,Internal remark,External remark,Measuring unit,In webshop,Surface item,Short description webshop,Long description webshop,Webshop SEO title,Webshop SEO keyword,Webshop SEO description,Webshop featured product,Rental-/Sales price,Margin price,Critical stock,Type of equipment,Rental/sales,Stock calculation method,Display in planner,Archived,List price,Transport volume,Height,Width,Length,Weight,Empty weight,Power,Current,Default equipment group,The equipment can have content,Physical/Virtual,Content editable in project,Restrict actual content,Price incl. VAT,VAT rate,Has accessories,Number of images,Tags,Current quantity excl. reserved for combinations,Current quantity,Quantity reserved for combinations,Location in default stock location,Total stock per stock location [Fabriek],Location in warehouse per stock location [Fabriek],ID,Created by (Created by),Folder (Folder),Factor group (Factor group),Discount group (Discount group),VAT class (VAT class),Main image (Main image),Ledger - credit (Ledger - credit),Ledger - debit (Ledger - debit),Created on (Serial number),Last change (Serial number),Display name (Serial number),Manufacturer serial number (Serial number),Date of purchase (Serial number),Active (Serial number),Remark (Serial number),Internal reference (Serial number),Guarantee date (Serial number),Replacement date (Serial number),Current book value (Serial number),Tags (Serial number),Seal (Serial number),Actual content from (Serial number),Combination structure (Serial number),ID (Serial number),"Created by (Serial number, Created by)","Equipment (Serial number, Equipment)","Supplier (Serial number, Supplier)","Assigned to (Serial number, Assigned to)","Managed by (Serial number, Managed by)","Main image (Serial number, Main image)","On subproject (Serial number, On subproject)","Lost (Serial number, Lost)","In repair (Serial number, In repair)"
45488.945243056,46094.193726852,"19"" 8U Topdesk Flightcase 001",510,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.048762,21,43,54,8,8,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,727,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,170,170,45309,1,,,,,0,,0,,,231,Ruben Dielkens,"19"" 8U Topdesk Flightcase 001",,,,,,,
45488.945243056,46094.193726852,"19"" 8U Topdesk Flightcase 002",511,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.048762,21,43,54,8,8,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,728,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,171,171,45309,1,,,,,0,,0,,,232,Ruben Dielkens,"19"" 8U Topdesk Flightcase 002",,,,,,,
45488.945243056,46094.193726852,8HE Stolp Case 001,512,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.219008,58,59,64,29,29,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,729,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,145,145,45309,1,,,,,0,,0,,,206,Ruben Dielkens,8HE Stolp Case 001,,,,,,,
45488.945243056,46094.193726852,8HE Stolp Case 002,513,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.219008,58,59,64,29,29,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,730,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,146,146,45309,1,,,,,0,,0,,,207,Ruben Dielkens,8HE Stolp Case 002,,,,,,,
45488.945243056,46094.193726852,8HE Stolp Case 003,514,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.219008,58,59,64,29,29,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,731,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,147,147,45309,1,,,,,0,,0,,,208,Ruben Dielkens,8HE Stolp Case 003,,,,,,,
45488.945243056,46094.193726852,8HE Stolp Case 004,515,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.219008,58,59,64,29,29,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,732,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,148,148,45309,1,,,,,0,,0,,,209,Ruben Dielkens,8HE Stolp Case 004,,,,,,,
45488.945243056,46094.193726852,Avolites Tiger Touch II Flightcase 001,516,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.08,20,50,80,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,733,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,166,166,45309,1,,,,,0,,0,,,227,Ruben Dielkens,Avolites Tiger Touch II Flightcase 001,,,,,,,
45488.945243056,46094.193726852,Avolites Tiger Touch II Flightcase 002,517,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.08,20,50,80,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,734,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,167,167,45309,1,,,,,0,,0,,,228,Ruben Dielkens,Avolites Tiger Touch II Flightcase 002,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 001,518,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,735,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,5,5,45309,1,,,,,0,,0,,,66,Ruben Dielkens,CDJ3000 Flightcase 001,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 002,519,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,736,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,6,6,45309,1,,,,,0,,0,,,67,Ruben Dielkens,CDJ3000 Flightcase 002,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 003,520,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,737,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,7,7,45309,1,,,,,0,,0,,,68,Ruben Dielkens,CDJ3000 Flightcase 003,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 004,521,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,738,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,8,8,45309,1,,,,,0,,0,,,69,Ruben Dielkens,CDJ3000 Flightcase 004,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 005,522,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,739,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,9,9,45309,1,,,,,0,,0,,,70,Ruben Dielkens,CDJ3000 Flightcase 005,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 006,523,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,740,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,10,10,45309,1,,,,,0,,0,,,71,Ruben Dielkens,CDJ3000 Flightcase 006,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 007,524,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,741,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,11,11,45309,1,,,,,0,,0,,,72,Ruben Dielkens,CDJ3000 Flightcase 007,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 008,525,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,742,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,12,12,45309,1,,,,,0,,0,,,73,Ruben Dielkens,CDJ3000 Flightcase 008,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 009,526,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,743,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,13,13,45309,1,,,,,0,,0,,,74,Ruben Dielkens,CDJ3000 Flightcase 009,,,,,,,
45488.945243056,46094.193726852,CDJ3000 Flightcase 010,527,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.057456,24,42,57,6.1,6.1,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,744,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,14,14,45309,1,,,,,0,,0,,,75,Ruben Dielkens,CDJ3000 Flightcase 010,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 001,528,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,745,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,270,270,45309,1,,,,,0,,0,,,331,Ruben Dielkens,Chauvet Epix Flightcase 001,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 002,529,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,746,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,271,271,45309,1,,,,,0,,0,,,332,Ruben Dielkens,Chauvet Epix Flightcase 002,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 003,530,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,747,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,272,272,45309,1,,,,,0,,0,,,333,Ruben Dielkens,Chauvet Epix Flightcase 003,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 004,531,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,748,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,273,273,45309,1,,,,,0,,0,,,334,Ruben Dielkens,Chauvet Epix Flightcase 004,,,,,,,
