Created on,Last change,Name (in database),Code,Internal remark,External remark,Measuring unit,In webshop,Surface item,Short description webshop,Long description webshop,Webshop SEO title,Webshop SEO keyword,Webshop SEO description,Webshop featured product,Rental-/Sales price,Margin price,Critical stock,Type of equipment,Rental/sales,Stock calculation method,Display in planner,Archived,List price,Transport volume,Height,Width,Length,Weight,Empty weight,Power,Current,Default equipment group,The equipment can have content,Physical/Virtual,Content editable in project,Restrict actual content,Price incl. VAT,VAT rate,Has accessories,Number of images,Tags,Current quantity excl. reserved for combinations,Current quantity,Quantity reserved for combinations,Location in default stock location,Total stock per stock location [Fabriek],Location in warehouse per stock location [Fabriek],ID,Created by (Created by),Folder (Folder),Factor group (Factor group),Discount group (Discount group),VAT class (VAT class),Main image (Main image),Ledger - credit (Ledger - credit),Ledger - debit (Ledger - debit),Created on (Serial number),Last change (Serial number),Display name (Serial number),Manufacturer serial number (Serial number),Date of purchase (Serial number),Active (Serial number),Remark (Serial number),Internal reference (Serial number),Guarantee date (Serial number),Replacement date (Serial number),Current book value (Serial number),Tags (Serial number),Seal (Serial number),Actual content from (Serial number),Combination structure (Serial number),ID (Serial number),"Created by (Serial number, Created by)","Equipment (Serial number, Equipment)","Supplier (Serial number, Supplier)","Assigned to (Serial number, Assigned to)","Managed by (Serial number, Managed by)","Main image (Serial number, Main image)","On subproject (Serial number, On subproject)","Lost (Serial number, Lost)","In repair (Serial number, In repair)"
45447.543391204,46223.665868056,Tent 5x10,0501-003,,,,0,0,,,,,,0,230,0,0,Physical item,Rental,Serialized,1,0,0,0,0,500,1000,0,0,0,0,Tenten,0,Physical equipment,0,All content possible,278.3,0.21,0,0,,2,2,0,,2,,697,Ruben Dielkens,0501-Tenten,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45514.644247685,45736.970891204,Beige,0501-003-1,45514,1,,Beige,,,0,,0,,,573,Jente Verbruggen,Tent 5x10,,,,,,,
45447.543391204,46223.665868056,Tent 5x10,0501-003,,,,0,0,,,,,,0,230,0,0,Physical item,Rental,Serialized,1,0,0,0,0,500,1000,0,0,0,0,Tenten,0,Physical equipment,0,All content possible,278.3,0.21,0,0,,2,2,0,,2,,697,Ruben Dielkens,0501-Tenten,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45514.6446875,45736.970891204,Grijs-Wit,0501-003-2,45514,1,,Grijs-Wit,,,0,,0,,,574,Jente Verbruggen,Tent 5x10,,,,,,,
45447.546273148,46223.66587963,Cava glazen,0201-004,,,,0,0,,,,,,0,0.2,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,0.242,0.21,0,0,,36,36,0,,36,,698,Ruben Dielkens,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45514.649305556,45736.970891204,Cava glazen bak 1,0201-004-1,45514,1,,Cava glazen bak 1,,,0,,0,,,575,Jente Verbruggen,Cava glazen,,,,,,,
45447.546678241,46223.66587963,Witte wijnglazen,0201-006,,,,0,0,,,,,,0,0.19,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,0.2299,0.21,0,0,,36,36,0,,36,,699,Ruben Dielkens,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.547337963,46223.66587963,Rode wijnglazen,0201-007,,,,0,0,,,,,,0,0.2,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,0.242,0.21,0,0,,36,36,0,,36,,700,Ruben Dielkens,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.548078704,46223.66587963,Water glazen,0201-005,,,,0,0,,,,,,0,0.27,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,0.3267,0.21,0,0,,52,52,0,,52,,701,Ruben Dielkens,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.548530093,46223.66587963,Bierglazen op voet per stuk,0201-001,,,,0,0,,,,,,0,0.46,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,0.5566,0.21,0,0,,63,63,0,,63,,702,Ruben Dielkens,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.549895833,46223.66587963,Borden 32 (wit),9998-800,,,,0,0,,,,,,0,0.38,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,,0,Physical equipment,0,All content possible,0.4598,0.21,0,0,,0,0,0,,0,,703,Ruben Dielkens,9998-Inhuur Funrent,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.551087963,46223.66587963,Vorken (standaard),9998-901,,,,0,0,,,,,,0,0.3,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,,0,Physical equipment,0,All content possible,0.363,0.21,0,0,,0,0,0,,0,,704,Ruben Dielkens,9998-Inhuur Funrent,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.551886574,46223.66587963,Messen (standaard),9998-900,,,,0,0,,,,,,0,0.3,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,,0,Physical equipment,0,All content possible,0.363,0.21,0,0,,0,0,0,,0,,705,Ruben Dielkens,9998-Inhuur Funrent,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.552847222,46223.66587963,niet gebruiken,00000,,,,0,0,,,,,,0,5,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Meubilair,0,Physical equipment,0,All content possible,6.05,0.21,0,0,,10,10,0,,10,,706,Ruben Dielkens,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.553020833,46223.66587963,Vorken (vis),9998-902,,,,0,0,,,,,,0,0.3,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,,0,Physical equipment,0,All content possible,0.363,0.21,0,0,,0,0,0,,0,,707,Ruben Dielkens,9998-Inhuur Funrent,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.553240741,46223.66587963,Messen (Vis),9998-902,,,,0,0,,,,,,0,0.3,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,,0,Physical equipment,0,All content possible,0.363,0.21,0,0,,0,0,0,,0,,708,Ruben Dielkens,9998-Inhuur Funrent,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45447.553680556,46223.66587963,Borden 24 (wit),9998-801,,,,0,0,,,,,,0,0.35,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,,0,Physical equipment,0,All content possible,0.4235,0.21,0,0,,0,0,0,,0,,709,Ruben Dielkens,9998-Inhuur Funrent,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
